"V1","V2","V3","V4","V5","V6","V7"
0.522512081777677,0.76208161492832,-1,0.572926975553855,0.940609497949481,0.572926975553855,0.940609497949481
0.719367276644334,0.706154402345419,1,0.869549774564803,0.0368888422381133,0.869549774564803,0.0368888422381133
0.569817937212065,0.32940509961918,1,0.707293343963102,0.540932148694992,0.707293343963102,0.540932148694992
0.99261162430048,0.336588708218187,1,0.538912636460736,0.371635156217963,0.538912636460736,0.371635156217963
0.0742411795072258,0.861703865230083,-1,0.217179732630029,0.309240192407742,0.217179732630029,0.309240192407742
0.00804824195802212,0.749065240612254,-1,0.243231742177159,0.1123274222482,0.243231742177159,0.1123274222482
0.292723508318886,0.484578501433134,-1,0.829462453490123,0.259405689546838,0.829462453490123,0.259405689546838
0.584199317498133,0.513728596735746,-1,0.929685306269675,0.774692482082173,0.929685306269675,0.774692482082173
0.409129260340706,0.949117975775152,-1,0.44886652356945,0.975483889458701,0.44886652356945,0.975483889458701
0.338283953489736,0.0598402922041714,1,0.956212085671723,0.152462942991406,0.956212085671723,0.152462942991406
0.188409312395379,0.355713623575866,-1,0.136056185467169,0.281553036998957,0.136056185467169,0.281553036998957
0.806078603724018,0.160059127025306,1,0.127887548180297,0.616639786399901,0.127887548180297,0.616639786399901
0.505505752749741,0.695388015825301,-1,0.0240429888945073,0.184529054677114,0.0240429888945073,0.184529054677114
0.937974534230307,0.126292326953262,1,0.571368317818269,0.897853935835883,0.571368317818269,0.897853935835883
0.459849251434207,0.924153916304931,-1,0.177457465324551,0.0539358840323985,0.177457465324551,0.0539358840323985
0.0779591384343803,0.0369810860138386,1,0.502097201067954,0.111201433464885,0.502097201067954,0.111201433464885
0.0780032949987799,0.0396161652170122,1,0.0829813575837761,0.812239611521363,0.0829813575837761,0.812239611521363
0.717583028366789,0.82493126578629,1,0.103197091491893,0.296701546059921,0.103197091491893,0.296701546059921
0.868802149780095,0.83351757703349,1,0.594817613717169,0.692474622279406,0.594817613717169,0.692474622279406
0.221813072217628,0.940834772074595,-1,0.102327563799918,0.422627759398893,0.102327563799918,0.422627759398893
0.987288106232882,0.784790892386809,1,0.648006167495623,0.145922529511154,0.648006167495623,0.145922529511154
0.198462915141135,0.398624245543033,-1,0.279199565760791,0.762033033417538,0.279199565760791,0.762033033417538
0.707095223013312,0.369836734374985,1,0.202333480818197,0.111912950873375,0.202333480818197,0.111912950873375
0.795139373745769,0.647346853511408,1,0.148013439727947,0.18265235167928,0.148013439727947,0.18265235167928
0.874581950483844,0.694859079550952,1,0.536417898023501,0.687323062680662,0.536417898023501,0.687323062680662
0.789708649273962,0.715574663830921,1,0.525361686944962,0.27944883517921,0.525361686944962,0.27944883517921
0.206659214338288,0.121076060459018,-1,0.702975005609915,0.788583876565099,0.702975005609915,0.788583876565099
0.556867097038776,0.854872940806672,1,0.385239661438391,0.217681662878022,0.385239661438391,0.217681662878022
0.406968235969543,0.950099137611687,-1,0.350450682453811,0.366589220939204,0.350450682453811,0.366589220939204
0.947607694193721,0.404879030538723,1,0.6321226793807,0.967463141772896,0.6321226793807,0.967463141772896
0.4968145058956,0.30944643728435,1,0.499746124260128,0.0233137267641723,0.499746124260128,0.0233137267641723
0.513644858496264,0.0768333610612899,1,0.409333084709942,0.241937762824818,0.409333084709942,0.241937762824818
0.540966134285554,0.98447761614807,1,0.307970305671915,0.229269074974582,0.307970305671915,0.229269074974582
0.675451620714739,0.204930583015084,1,0.136246548499912,0.991424801293761,0.136246548499912,0.991424801293761
0.111785571789369,0.804225631523877,-1,0.266444752225652,0.452180834719911,0.266444752225652,0.452180834719911
0.39173636585474,0.63294906844385,-1,0.228471007198095,0.535949841141701,0.228471007198095,0.535949841141701
